bytes_sent,bytes_recv,duration,protocol,src_port,dst_port,label
40630.948876772316,148733.9184532335,22.414616484723652,TCP,6010,25,0
51240.773027947835,187867.6694892982,38.76787926974542,TCP,21259,80,0
37597.863419103895,83555.89819715804,24.177735825994304,TCP,59996,3389,0
72080.218497352,104910.57303614907,18.903189149998717,TCP,42116,3306,0
35360.61775827643,142801.3678433609,20.374856123248726,TCP,42101,3306,0
35749.66917634128,61364.34019865847,43.35540275630715,TCP,54703,443,0
74166.74222749431,165256.97482010917,18.908811815141497,TCP,3343,25,0
59929.21384145775,116596.20118300337,30.23700507671234,TCP,34648,21,0
28379.738003989194,133507.0807481878,25.82775797813425,TCP,3884,8080,0
49175.97700695624,135320.52601806735,40.97582860888721,TCP,14587,8443,0
39458.675602681935,81898.53334817258,20.503775195094967,UDP,7725,80,0
37201.3497416177,165070.5923304414,14.840968586247623,TCP,25633,8443,0
67362.616370317,116180.07706761423,10.22987227376467,TCP,44700,8080,0
23199.38732947883,117393.53527437236,32.102470276853666,TCP,32668,80,0
72518.53795740816,98381.66095884974,49.2501854417532,TCP,21633,80,0
56068.17789629235,127144.47363579134,21.869823122754845,TCP,18369,22,0
26108.086104177084,111829.22048770804,31.699545285742843,TCP,20959,3389,0
56304.84244664194,113646.69134126983,42.413152634724476,UDP,27513,21,0
60068.42017420548,124720.39012516494,24.46771258005462,TCP,51854,443,0
51655.93588418328,113002.80471984639,45.79617841445593,TCP,63201,443,0
47454.20305369433,54167.95311643944,20.8086487196797,TCP,48001,3389,0
71353.39208397549,85223.66220581315,23.247026024196217,UDP,37127,8443,0
44580.94362494832,172989.47862509007,18.919843290484387,UDP,62966,3306,0
80790.27472918836,55245.3882687924,32.340000806012284,TCP,62681,21,0
5770233.173823735,16968.05341996213,4.283330430944818,UDP,37736,5325,1
63427.77472957529,177053.07907600136,40.78948180798935,TCP,28316,8080,0
37638.40251103993,116462.72494230888,33.61783116400846,TCP,53612,8080,0
34794.23950339402,111167.24857798681,27.704164799326094,TCP,1497,8443,0
40263.15317542614,147822.09685176838,21.906660247354825,TCP,13146,8080,0
38307.764049118705,84696.76266599694,39.53817845898421,TCP,35416,443,0
45936.59559393594,127370.20889618213,30.20145796490059,TCP,30003,53,0
56890.786575749175,163159.54560569514,30.923572599023466,TCP,39467,22,0
3908668.5528234555,9837.928015478827,2.917670816128025,UDP,4795,47886,1
4223538.588305775,6242.880864275256,5.503695193989777,TCP,26944,51467,1
59431.94440415455,158949.61173725326,34.75372301208937,TCP,52263,25,0
41202.26523620053,136847.16334656905,28.491486483375308,UDP,17856,8080,0
80485.05537065507,116618.06567065437,10.346999601821548,TCP,60028,80,0
49210.818604169166,156723.27841401528,18.965925213179265,TCP,41696,443,0
1827.5779715187268,2054.0270520036192,7807.87312179834,TCP,33225,31337,1
73152.3928402183,170896.88641136198,29.311031340869977,UDP,35663,53,0
70941.37353867115,62931.862200020936,29.51911350543459,TCP,1625,3389,0
60989.59349698236,178500.6933047991,35.42894541657586,UDP,64377,3306,0
56462.315045118245,121262.6266915966,13.68736297807368,TCP,7000,3389,0
61900.20852799888,25700.501640507355,26.90281352424572,TCP,27966,25,0
77560.80013231281,112504.03116384064,29.009787170212782,ICMP,15428,22,0
26076.871039766,74822.87997236085,22.129810933937264,UDP,40981,21,0
58191.33846247143,102336.87458608016,60.46206677981121,TCP,24893,22,0
32008.97261263947,148745.68941242734,30.175202802566577,TCP,47528,3306,0
58200.005489247276,109526.91227457018,31.95901951845847,TCP,52188,8080,0
56747.229898348014,129636.82849824612,39.24878480943506,TCP,20400,25,0
74883.45751416968,56002.72116164658,34.82638699195838,UDP,30635,8080,0
39526.209547057086,199250.53818887696,37.04416806185247,UDP,41368,8443,0
43952.55984604927,149557.83616493788,36.4016581513671,TCP,2772,8443,0
41484.16785120948,119449.82481563078,31.904667006749857,TCP,35816,3306,0
50217.918229063536,121026.97814631998,33.44464217967283,TCP,54089,8080,0
31117.903104734953,166088.7598661068,36.61008240537732,TCP,17767,8443,0
57794.90860019754,61814.89611855589,25.638299952464116,UDP,26506,21,0
47650.43153512864,131248.25823691618,37.83871109523388,TCP,52946,3306,0
