user_id,hora_login,ip_origen,bytes_sent,failed_logins,num_accesos_dia
user_01,14.01,192.168.1.35,453104.74,0,1
user_01,14.53,192.168.1.35,551491.69,1,8
user_01,16.06,192.168.1.35,323878.47,0,6
user_01,16.53,91.114.227.1,429833.23,0,7
user_01,15.02,192.168.1.35,390271.01,0,5
user_01,16.01,192.168.1.35,716733.69,1,1
user_01,14.57,192.168.1.35,517007.37,0,5
user_01,14.56,192.168.1.35,521538.63,0,2
user_01,14.16,192.168.1.35,507473.78,0,4
user_01,15.77,192.168.1.35,550448.43,0,8
user_01,15.59,192.168.1.35,474217.89,0,5
user_01,14.97,192.168.1.35,352733.11,0,7
user_01,14.51,192.168.1.35,563127.08,0,1
user_01,16.19,192.168.1.35,529476.25,0,7
user_01,14.98,192.168.1.35,548687.3,0,9
user_01,14.45,192.168.1.35,501452.73,0,8
user_01,15.02,192.168.1.35,457123.61,0,4
user_01,14.75,192.168.1.35,388841.42,0,4
user_01,16.08,192.168.1.35,374919.27,0,9
user_01,16.28,192.168.1.35,423476.26,0,2
user_01,13.56,192.168.1.35,246926.53,0,4
user_01,14.46,192.168.1.35,386863.53,1,9
user_01,16.37,192.168.1.35,314148.5,0,1
user_01,16.49,192.168.1.35,210244.31,0,1
user_01,14.83,192.168.1.35,247064.59,0,5
user_01,15.54,192.168.1.35,646059.09,0,7
user_01,15.72,192.168.1.35,465168.99,0,2
user_01,17.21,192.168.1.35,280747.24,0,3
user_01,15.06,6.107.123.1,256146.09,0,3
user_01,15.88,192.168.1.35,546088.82,0,7
user_01,14.37,192.168.1.35,157261.35,0,5
user_01,15.03,192.168.1.35,356239.03,0,4
user_01,15.33,192.168.1.35,300790.89,0,8
user_01,15.45,192.168.1.35,667810.04,0,3
user_01,14.14,192.168.1.35,310024.93,0,1
user_01,14.56,192.168.1.35,546136.29,0,2
user_01,15.33,192.168.1.35,431032.81,1,9
user_01,14.99,192.168.1.35,275924.13,2,2
user_01,15.7,192.168.1.35,420838.04,0,9
user_01,15.77,192.168.1.35,382574.28,0,8
user_01,15.73,192.168.1.35,276072.94,0,1
user_01,17.51,192.168.1.35,412868.07,0,4
user_01,17.14,127.128.111.1,319239.71,0,6
user_01,15.9,192.168.1.35,620623.53,0,2
user_01,13.14,192.168.1.35,429991.3,0,7
user_01,15.13,192.168.1.35,556270.52,0,6
user_01,14.95,169.133.73.1,393473.14,0,5
user_01,14.71,192.168.1.35,407063.55,0,2
user_01,15.62,192.168.1.35,466246.6,1,6
user_01,14.53,192.168.1.35,398747.5,0,6
user_01,16.91,192.168.1.35,340924.17,0,8
user_01,15.33,192.168.1.35,297287.63,1,7
user_01,14.5,192.168.1.35,424029.09,1,6
